,YEAR(S),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,COOP_ID,type,COOP_NAME,DIV,LATITUDE,LONGITUDE
1111,1991,0.5,2.92,9.27,0.69,0.92,0.12,0.13,0.0,0.0,0.26,0.67,3.86,19.34,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1112,1992,2.77,7.76,3.36,1.2,0.26,1.21,0.0,0.0,0.0,1.91,0.37,7.51,26.35,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1113,1993,8.86,6.63,2.8,2.51,2.51,1.13,0.0,0.3,0.0,1.02,1.5,1.29,27.26,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1114,1994,3.08,5.83,0.58,1.83,2.32,0.06,0.0,0.0,0.04,0.23,4.95,4.16,23.08,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1115,1995,21.49,0.9,10.23,2.1,1.19,0.67,0.0,0.0,0.0,0.0,0.1,5.45,42.13,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1116,1996,4.95,3.65,1.7,1.54,2.77,0.18,0.0,0.0,0.59,1.79,1.65,4.69,23.51,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1117,1997,5.72,0.47,1.6,0.61,0.81,0.57,0.0,0.49,0.78,1.42,6.53,3.09,22.09,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1118,1998,7.78,13.88,3.86,1.9,6.53,1.47,0.0,0.0,0.0,2.25,5.64,1.39,44.7,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1119,1999,1.06,4.64,2.46,0.95,0.02,0.61,0.0,0.25,0.0,0.31,3.44,0.3,14.04,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1120,2000,4.87,6.93,2.42,2.43,0.9,0.55,0.7,0.04,0.43,3.7,0.59,0.42,23.98,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1121,2001,5.39,4.74,2.7,1.73,0.0,0.43,0.0,0.0,0.43,0.8,5.14,6.13,27.49,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1122,2002,2.11,0.95,1.49,0.81,0.82,0.0,0.0,0.0,0.0,0.0,2.66,9.68,18.52,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1123,2003,4.8,1.46,2.72,4.02,1.72,0.0,0.07,0.26,0.01,0.03,3.32,7.97,26.38,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1124,2004,2.68,7.61,1.47,0.23,0.97,0.0,0.0,0.0,0.1,2.37,2.06,7.19,24.68,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1125,2005,5.13,2.63,2.11,1.29,3.63,0.86,0.0,0.0,0.01,0.33,5.07,7.68,28.74,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1126,2006,4.26,2.44,5.11,4.4,0.62,0.34,0.0,0.01,0.0,0.1,1.88,3.92,23.08,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1127,2007,0.0,4.47,0.54,1.18,0.49,0.15,0.86,0.0,0.36,1.11,0.35,2.77,12.28,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1128,2008,7.04,2.12,0.07,0.11,0.26,0.0,0.0,0.0,0.0,1.56,1.59,1.65,14.4,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1129,2009,0.85,8.03,1.26,0.43,0.45,1.7,0.0,0.0,0.07,2.23,0.88,2.74,18.64,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1130,2010,7.79,4.73,0.87,3.6,1.1,0.06,0.0,0.0,0.18,2.08,1.27,5.55,27.23,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1131,2011,1.27,2.03,4.6,0.44,1.71,0.89,0.0,0.0,0.1,1.79,2.96,0.07,15.86,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1132,2012,4.39,1.87,4.54,1.48,0.88,0.18,0.0,0.0,0.0,0.59,4.58,7.03,25.54,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1133,2013,0.89,0.23,0.93,0.7,0.2,0.49,0.0,0.02,0.52,0.0,1.17,0.26,5.41,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1134,2014,0.06,6.41,3.17,0.29,0.61,0.0,0.01,0.13,2.44,1.2,2.87,9.75,26.94,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1135,2015,0.04,2.1,0.71,0.8,0.3,0.01,0.03,0.0,0.2,0.22,1.15,4.11,9.67,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1136,2016,8.8,0.41,6.21,1.28,0.51,1.27,0.0,0.0,0.0,3.48,3.26,3.67,28.89,47292,p,RED BLUFF,2,40 09 15,-122 15 20
1137,1966,3.71,4.73,2.27,0.31,0.13,0.0,0.05,0.06,0.42,1.29,3.12,18.07,34.16,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1138,1967,4.14,0.0,4.78,11.94,0.19,0.32,0.19,0.11,2.89,0.0,4.86,13.42,42.84,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1139,1968,1.56,0.53,2.65,2.99,1.3,0.0,1.07,0.1,0.0,0.47,1.9,3.81,16.38,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1140,1969,19.78,14.39,4.15,1.02,0.73,0.27,0.04,0.0,0.15,0.22,5.07,0.61,46.43,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1141,1970,1.9,0.95,8.56,2.53,0.01,0.06,0.09,0.46,0.02,0.46,6.21,8.0,29.25,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1142,1971,3.0,2.55,1.19,4.26,3.29,0.0,0.06,0.97,0.24,3.61,0.36,11.61,31.14,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1143,1972,0.19,0.67,0.0,1.17,1.3,1.39,0.04,0.02,0.62,4.15,7.02,6.02,22.59,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1144,1973,7.57,9.29,14.31,1.24,0.91,0.05,0.0,1.54,0.0,0.14,4.88,0.65,40.58,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1145,1974,7.82,0.5,4.07,2.21,0.38,0.0,2.68,0.05,0.2,5.65,1.36,3.46,28.38,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1146,1975,1.17,4.17,8.68,7.17,0.62,0.27,0.09,0.0,2.15,0.58,5.1,1.45,31.45,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1147,1976,0.08,11.8,3.94,3.52,0.18,0.19,0.52,0.0,7.12,1.6,1.32,2.56,32.83,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1148,1977,5.02,1.4,3.49,0.53,5.04,0.08,0.0,4.1,0.0,1.3,0.92,6.8,28.68,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1149,1978,12.46,12.27,14.65,4.42,0.89,0.0,0.0,0.18,0.91,0.48,6.67,7.77,60.7,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1150,1979,8.36,7.45,8.5,0.14,1.57,0.0,0.37,0.58,0.37,5.06,0.79,1.94,35.13,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1151,1980,22.37,24.34,9.7,4.09,3.39,0.07,0.64,0.0,0.0,1.51,0.01,2.37,68.49,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1152,1981,2.68,4.07,4.61,1.27,1.45,0.0,0.0,1.14,2.69,0.96,2.75,2.22,23.84,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1153,1982,11.15,2.28,12.72,2.65,0.32,0.03,0.19,1.55,2.38,0.65,10.22,14.55,58.69,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1154,1983,6.2,10.3,20.68,7.18,0.73,0.0,0.0,3.42,0.49,1.73,9.34,7.41,67.48,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1155,1984,0.32,0.13,0.32,2.09,0.0,0.14,3.29,3.59,0.08,1.05,3.83,10.48,25.32,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1156,1985,2.31,5.66,5.64,1.63,0.14,0.21,0.87,0.0,1.2,1.34,11.99,2.61,33.6,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1157,1986,1.65,7.85,9.21,0.65,0.08,0.0,2.15,0.34,2.71,1.68,1.48,2.75,30.55,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1158,1987,4.45,2.44,6.54,1.15,0.45,0.0,0.03,0.29,0.46,5.54,4.38,3.17,28.9,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1159,1988,6.64,2.12,1.08,5.95,0.71,0.0,0.09,1.13,0.25,0.0,2.94,5.19,26.1,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1160,1989,2.1,5.47,4.06,0.35,0.89,0.0,0.0,0.23,1.22,0.99,0.26,0.6,16.17,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1161,1990,6.47,4.36,2.42,2.3,1.22,0.7,0.14,1.35,0.15,0.16,2.2,2.99,24.46,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1162,1991,1.64,3.95,19.98,0.34,0.05,0.0,0.06,2.57,0.69,2.03,0.98,5.34,37.63,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1163,1992,4.79,7.55,9.84,1.53,0.29,0.0,0.29,1.97,0.11,3.05,0.08,8.73,38.23,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1164,1993,28.47,13.76,4.16,0.0,0.6,1.58,0.0,0.03,0.0,0.46,4.72,3.66,57.44,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1165,1994,2.98,9.09,5.03,4.75,0.35,0.0,,1.09,0.15,0.45,3.7,2.8,30.39,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1166,1995,17.86,7.91,16.57,2.56,3.33,1.37,0.13,0.12,0.67,0.0,0.33,1.48,52.33,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1167,1996,2.62,6.12,6.04,1.77,0.14,0.0,0.17,0.26,1.01,2.29,3.58,5.69,29.69,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1168,1997,8.29,2.29,0.75,0.42,0.1,0.22,0.0,0.24,2.72,0.94,,,15.97,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1169,1998,6.79,16.47,7.66,6.88,5.01,0.36,0.0,0.07,0.06,0.21,6.07,1.92,51.5,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1170,1999,1.57,2.44,1.76,2.55,0.15,1.24,1.1,0.13,2.2,0.0,0.14,0.34,13.62,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1171,2000,2.12,9.84,2.89,2.59,0.07,0.08,0.0,0.88,0.4,1.52,0.85,0.15,21.39,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1172,2001,1.75,4.35,1.45,3.72,0.05,0.0,0.41,0.23,1.44,,2.36,2.58,18.34,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1173,2002,0.51,0.38,1.82,1.12,0.0,0.0,0.0,0.0,0.67,0.07,4.94,5.03,14.54,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1174,2003,0.7,9.86,4.95,3.46,2.36,,0.51,2.42,0.16,0.0,2.03,4.72,31.17,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1175,2004,2.34,7.58,1.1,2.05,0.0,0.0,0.06,0.25,0.0,,2.29,7.92,23.59,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1176,2005,11.61,8.91,3.94,2.79,0.62,0.0,1.44,0.39,0.12,2.14,0.19,0.5,32.65,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1177,2006,2.1,3.0,,6.34,0.76,0.0,1.33,0.08,0.0,0.55,0.57,2.53,17.26,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1178,2007,1.62,6.01,2.06,0.97,0.06,0.0,0.0,0.42,0.1,0.3,0.19,5.7,17.43,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1179,2008,14.32,5.14,0.03,0.1,1.2,0.0,0.0,0.44,0.0,0.18,3.31,9.23,33.95,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1180,2009,0.34,5.38,0.72,0.58,0.0,0.04,0.0,0.0,0.0,0.23,1.26,9.73,18.28,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1181,2010,9.02,8.84,2.83,5.77,0.0,0.0,0.1,0.0,0.04,5.2,4.97,13.66,50.43,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1182,2011,2.61,8.46,4.81,0.84,1.97,0.11,1.32,0.0,0.31,1.92,5.86,1.83,30.04,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1183,2012,2.14,2.21,3.96,4.6,0.0,0.0,1.15,0.17,0.45,1.02,1.48,5.9,23.08,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1184,2013,2.12,1.6,1.72,0.15,1.3,0.0,0.57,2.27,1.38,3.96,1.98,1.71,18.76,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1185,2014,0.47,1.06,4.11,2.52,0.0,0.0,0.25,0.45,0.24,0.0,1.01,5.26,15.37,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1186,2015,0.83,3.0,2.35,1.74,4.41,0.05,0.76,0.15,1.86,0.71,2.56,5.66,24.08,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1187,2016,5.95,2.94,2.56,1.97,0.75,0.0,0.0,0.0,1.19,0.29,3.86,7.91,27.42,42239,p,CUYAMACA ,6,32 59 00,-116 35 00
1188,1966,1.53,2.65,0.97,1.91,0.36,0.44,0.0,0.0,0.23,0.0,5.72,23.33,37.14,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1189,1967,8.55,0.88,12.97,14.91,1.38,0.22,0.0,0.41,1.92,0.0,4.24,4.96,50.44,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1190,1968,3.41,2.1,3.22,1.19,0.72,0.23,0.0,0.11,0.0,3.09,3.05,11.05,28.17,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1191,1969,38.18,18.55,6.62,4.53,0.11,2.16,0.35,0.13,0.15,1.92,1.76,4.34,78.8,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1192,1970,13.68,2.01,5.49,2.5,0.0,0.75,0.61,0.0,0.0,0.18,9.07,10.04,44.33,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1193,1971,3.12,2.08,2.8,1.82,2.09,0.0,0.14,0.0,0.66,1.12,4.88,12.65,31.36,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1194,1972,2.0,1.88,0.0,2.04,0.45,1.19,0.03,0.08,0.89,1.55,8.09,5.45,23.65,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1195,1973,13.37,11.85,9.35,1.06,0.33,0.0,0.0,0.16,0.0,3.39,7.62,5.64,52.77,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1196,1974,10.6,1.49,11.4,4.44,0.25,0.0,0.32,0.03,0.0,3.19,1.66,5.04,38.42,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1197,1975,2.7,9.55,10.85,6.76,0.55,0.21,0.0,0.19,0.49,6.15,2.52,0.56,40.53,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1198,1976,0.06,5.59,3.36,3.0,0.58,0.09,0.27,0.54,4.82,1.3,0.27,1.22,21.1,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1199,1977,2.83,1.69,1.92,0.04,3.71,0.88,0.01,0.43,0.04,0.63,2.82,14.26,29.26,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1200,1978,13.55,13.45,12.4,7.97,0.08,0.01,0.03,0.06,5.75,0.0,2.65,4.18,60.13,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1201,1979,6.44,10.93,7.69,0.07,1.03,0.0,0.19,0.0,0.14,2.97,2.43,3.58,35.47,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1202,1980,24.94,18.75,5.72,2.46,2.22,0.18,0.0,0.0,0.11,1.08,0.39,3.74,59.59,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1203,1981,10.85,2.41,8.0,1.77,2.78,0.0,0.0,0.04,0.06,4.42,5.41,4.36,40.1,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1204,1982,12.73,4.5,15.42,11.56,0.99,1.35,0.16,0.21,7.98,6.36,11.76,11.05,68.65,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1205,1983,12.08,10.42,13.24,5.3,1.67,0.08,0.0,0.74,1.76,1.17,11.97,11.96,70.39,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1206,1984,0.08,5.81,2.72,2.59,0.06,0.52,0.82,0.2,0.76,1.72,7.93,3.69,26.9,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1207,1985,2.05,2.93,9.42,0.52,0.05,0.13,0.1,0.0,1.45,2.15,9.05,4.92,30.62,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1208,1986,4.98,17.01,9.63,1.8,0.1,0.0,0.04,0.1,1.8,0.15,0.56,0.71,36.88,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1209,1987,3.84,5.96,7.25,1.41,0.72,0.74,0.0,0.24,0.0,3.52,3.06,5.95,32.69,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1210,1988,9.23,1.16,2.13,4.48,2.32,0.35,0.25,0.18,1.0,0.0,8.25,7.93,29.35,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1211,1989,1.83,3.8,5.56,1.92,2.49,0.04,0.0,0.0,3.55,2.56,2.82,0.0,24.57,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1212,1990,7.76,4.8,3.66,1.76,2.73,0.06,0.02,0.03,0.85,0.09,1.26,2.09,25.11,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1213,1991,2.07,1.47,25.55,0.67,0.98,0.74,0.0,0.0,0.08,3.07,2.17,3.97,40.77,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1214,1992,2.16,,4.6,,0.66,0.08,2.93,0.05,0.14,6.15,0.1,12.48,29.35,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1215,1993,,12.79,6.43,1.5,0.3,2.1,0.0,0.03,0.0,1.19,3.38,2.97,30.69,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1216,1994,1.75,10.6,1.19,4.15,2.85,0.0,0.15,0.0,2.36,2.64,6.02,4.08,35.79,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1217,1995,21.39,2.85,22.23,4.44,6.24,2.11,0.03,0.0,0.0,0.0,0.03,6.34,65.66,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1218,1996,7.63,15.95,6.61,5.66,2.02,0.35,0.13,0.0,0.0,2.98,10.05,18.08,61.83,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1219,1997,20.6,0.74,0.15,0.08,0.12,0.19,0.22,0.0,0.42,1.44,5.28,6.0,35.24,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1220,1998,10.72,17.09,7.87,5.78,4.53,3.23,0.0,0.01,1.25,0.54,3.34,2.73,57.09,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1221,1999,7.45,4.2,2.95,3.51,0.18,0.92,1.0,0.01,0.87,0.02,2.5,0.04,23.65,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1222,2000,11.81,14.93,3.79,3.57,1.98,1.39,0.0,0.09,0.23,5.4,1.09,0.52,44.8,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1223,2001,6.39,7.69,1.5,7.04,0.0,0.0,0.31,0.0,0.0,1.54,7.24,11.14,42.85,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1224,2002,4.14,1.65,5.93,1.45,1.8,0.07,0.0,0.0,0.0,0.33,9.8,7.86,33.03,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1225,2003,0.39,5.68,6.7,8.37,3.13,0.0,0.57,0.98,0.21,0.0,3.64,9.7,39.37,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1226,2004,3.2,8.81,1.6,0.76,0.18,0.0,0.0,0.0,0.17,9.7,1.52,3.65,25.94,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1227,2005,18.64,5.09,10.33,3.64,6.19,0.0,0.0,0.35,0.27,0.49,1.05,6.97,53.02,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1228,2006,13.93,6.65,12.09,14.02,1.14,0.0,0.0,0.0,0.0,0.84,0.93,4.54,54.14,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1229,2007,1.65,8.97,2.82,2.07,0.21,0.0,0.0,0.39,1.59,1.31,0.33,6.34,25.68,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1230,2008,10.57,10.72,1.18,0.03,1.05,0.0,0.27,0.0,0.1,1.02,3.75,7.12,35.81,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1231,2009,6.02,9.01,3.68,2.69,1.84,1.44,0.0,0.07,0.04,7.88,0.49,8.86,42.02,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1232,2010,11.01,5.94,4.89,12.09,1.12,0.0,0.02,0.02,0.0,4.59,5.91,21.17,66.76,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1233,2011,3.55,7.54,12.99,1.41,4.27,0.84,0.0,0.19,0.77,4.1,2.68,0.0,38.15,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1234,2012,2.75,1.56,6.88,6.37,0.26,0.25,0.0,0.04,0.03,1.23,3.97,12.52,34.38,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1235,2013,2.43,1.21,1.72,0.89,0.46,0.0,0.32,0.21,0.21,1.82,0.29,0.92,7.77,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1236,2014,1.42,3.99,5.62,5.13,1.43,0.0,0.39,0.0,0.89,0.0,3.34,6.25,28.46,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1237,2015,0.24,4.85,0.8,1.71,2.19,0.5,1.19,0.0,,2.82,5.18,6.09,18.87,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1238,2016,8.85,5.79,7.02,3.32,0.66,0.41,0.0,0.1,0.02,4.41,0.14,9.51,29.9,43551,p,GRANT GRO,5,36 44 00,-118 58 00
1239,1966,49.02,49.34,56.18,61.48,62.9,67.48,68.71,72.6,68.9,66.71,58.0,52.42,61.14,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1240,1967,52.5,55.09,53.47,49.7,62.16,63.52,74.1,75.06,72.27,68.74,61.8,49.47,61.49,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1241,1968,51.66,56.83,56.37,58.25,62.08,67.6,71.94,70.08,69.22,65.1,58.9,49.19,61.43,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1242,1969,52.73,49.07,52.95,57.68,61.58,64.47,70.74,72.39,69.18,62.69,60.48,52.16,60.51,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1243,1970,53.26,54.77,55.58,55.27,63.37,65.42,71.92,70.74,69.73,63.84,57.53,49.18,60.88,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1244,1971,51.44,52.98,54.24,55.28,58.27,65.5,70.42,74.16,71.07,61.55,54.82,47.45,59.77,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1245,1972,50.69,54.81,60.19,58.23,63.4,67.42,72.1,71.47,67.65,61.69,54.83,49.19,60.97,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1246,1973,47.97,52.62,50.23,57.18,63.55,69.57,68.9,69.47,67.05,63.5,54.62,53.44,59.84,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1247,1974,49.89,51.79,54.06,57.1,60.18,65.73,71.15,70.68,70.17,64.61,57.77,51.18,60.36,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1248,1975,52.87,51.29,52.03,51.97,60.65,64.32,67.94,69.48,69.77,62.15,57.13,53.47,59.42,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1249,1976,55.26,54.12,54.02,53.88,62.31,68.62,70.21,68.71,69.48,65.34,62.8,55.45,61.68,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1250,1977,51.61,56.68,51.68,58.88,57.15,66.57,70.56,71.65,68.53,64.23,60.63,56.95,61.26,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1251,1978,53.61,53.25,58.08,54.85,63.4,65.6,69.52,71.1,69.82,67.03,53.97,49.55,60.81,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1252,1979,48.84,50.11,54.27,57.3,62.66,67.52,70.39,70.44,72.87,64.5,56.88,56.26,61.0,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1253,1980,55.42,56.95,53.65,58.5,59.29,64.18,71.76,70.9,67.78,67.05,60.28,56.95,61.89,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1254,1981,55.71,55.48,54.1,58.48,62.47,72.55,72.5,72.34,69.37,61.82,59.18,55.31,62.44,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1255,1982,49.9,55.79,52.95,57.08,61.84,64.68,70.13,72.06,69.57,65.63,56.52,50.71,60.57,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1256,1983,54.02,53.52,54.39,54.7,62.26,65.82,70.73,74.19,,67.26,56.33,52.02,60.47,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1257,1984,53.73,53.38,58.81,58.17,67.53,67.18,75.47,74.65,77.18,62.87,54.92,49.03,62.74,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1258,1985,49.73,52.7,52.5,62.37,61.74,70.67,75.26,71.97,67.42,63.77,55.25,54.95,61.53,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1259,1986,57.5,55.54,58.6,59.15,63.0,67.43,70.21,73.24,65.03,64.4,61.82,54.19,62.51,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1260,1987,49.98,53.16,54.39,63.13,66.23,68.27,68.08,71.37,70.43,68.9,56.73,49.24,61.66,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1261,1988,51.92,56.71,59.13,59.72,62.34,64.6,71.19,72.11,69.72,65.98,57.57,52.02,61.92,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1262,1989,50.31,51.55,58.29,64.7,63.63,68.6,72.39,69.84,69.08,64.4,61.38,,63.11,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1263,1990,52.44,51.52,56.34,62.65,62.94,68.72,73.65,73.35,70.32,67.69,58.92,49.82,62.36,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1264,1991,52.79,58.11,50.77,58.12,60.55,64.22,66.2,65.98,66.52,67.9,60.22,52.61,60.33,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1265,1992,52.05,57.5,55.61,62.98,65.87,68.7,72.68,74.4,70.98,67.71,59.7,50.56,63.23,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1266,1993,51.55,52.33,59.4,60.22,64.92,69.75,69.58,72.73,70.4,67.31,59.68,52.37,62.52,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1267,1994,53.89,52.18,58.74,59.45,61.66,68.45,70.27,74.06,69.67,64.45,53.02,52.39,61.52,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1268,1995,52.9,59.8,56.37,59.07,61.15,66.7,72.42,72.92,70.85,67.08,62.98,55.26,63.13,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1269,1996,54.63,56.91,57.88,62.95,65.81,68.2,74.65,74.81,70.15,65.31,58.43,53.77,63.63,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1270,1997,53.6,54.55,59.95,60.78,69.52,67.93,70.69,74.37,74.9,66.13,60.67,51.39,63.71,41253,t,CACHUMA L,6,34 35 00,-119 59 00
1271,1998,53.0,51.39,56.97,55.77,58.5,64.58,72.18,75.65,69.75,62.76,55.97,50.27,60.57,41253,t,CACHUMA L,6,34 35 00,-119 59 00
